query name	subject	percent identities	aligned length	number of mismatched positions	number of gap positions	query sequence start	query sequence end	subject sequence start	subject sequence end	e-value	bit score
A_07_P058238	ECs1772	100.00	60	0	0	1	60	638	697	5e-28	119
A_07_P021167	ECs0464	100.00	60	0	0	1	60	669	728	5e-28	119
A_07_P046840	ECs1338	100.00	60	0	0	1	60	51	110	5e-28	119
A_07_P051527	ECs1235	100.00	60	0	0	1	60	529	588	5e-28	119
A_07_P053119	ECs3076	100.00	60	0	0	1	60	1273	1332	5e-28	119
A_07_P058377	ECs2942	100.00	60	0	0	1	60	131	190	5e-28	119
A_07_P030659	ECs3577	95.00	60	3	0	1	60	1292	1351	7e-21	95.6
A_07_P037406	ECs4901	100.00	58	0	0	1	58	830	887	8e-27	115
A_07_P018348	ECs2366	96.67	60	2	0	1	60	784	843	3e-23	103
A_07_P055272	ECs1114	100.00	60	0	0	1	60	1347	1406	5e-28	119
A_07_P037679	ECs5049	96.55	58	2	0	1	58	893	950	5e-22	99.6
A_07_P061896	ECs2715	100.00	60	0	0	1	60	779	838	5e-28	119
A_07_P038798	ECs1714	93.33	60	4	0	1	60	490	549	2e-18	87.7
A_07_P062407	ECs1278	100.00	60	0	0	1	60	2063	2122	5e-28	119
A_07_P057539	ECs4584	100.00	60	0	0	1	60	528	587	5e-28	119
A_07_P020551	ECs2290	98.33	60	1	0	1	60	121	180	1e-25	111
A_07_P050676	ECs1650	100.00	60	0	0	1	60	2857	2916	5e-28	119
A_07_P006532	ECs3785	100.00	60	0	0	1	60	334	393	5e-28	119
A_07_P010606	ECs4622	100.00	60	0	0	1	60	1264	1323	5e-28	119
A_07_P000160	ECs3968	96.36	55	2	0	1	55	290	344	3e-20	93.7
A_07_P045746	ECs3852	100.00	60	0	0	1	60	142	201	5e-28	119
A_07_P010142	ECs0750	100.00	60	0	0	1	60	82	141	5e-28	119
A_07_P032280	ECs3076	100.00	60	0	0	1	60	1274	1333	5e-28	119
A_07_P045877	ECs3966	100.00	60	0	0	1	60	1045	1104	5e-28	119
A_07_P005669	ECs4691	100.00	60	0	0	1	60	1287	1346	5e-28	119
A_07_P034004	ECs4027	89.29	56	6	0	5	60	655	710	3e-11	63.9
A_07_P042457	ECs2687	98.33	60	1	0	1	60	547	606	1e-25	111
A_07_P013631	ECs3377	100.00	60	0	0	1	60	17	76	5e-28	119
A_07_P060745	ECs1536	100.00	60	0	0	1	60	99	158	5e-28	119
A_07_P038337	ECs1608	100.00	60	0	0	1	60	115	56	5e-28	119
A_07_P047376	ECs5183	100.00	60	0	0	1	60	1023	1082	5e-28	119
A_07_P057494	ECs4575	100.00	60	0	0	1	60	1407	1466	5e-28	119
A_07_P016241	ECs0554	100.00	60	0	0	1	60	719	778	5e-28	119
A_07_P019161	ECs4799	95.00	60	3	0	1	60	832	891	7e-21	95.6
A_07_P047977	ECs2154	100.00	60	0	0	1	60	516	575	5e-28	119
A_07_P010892	ECs0044	96.67	60	2	0	1	60	67	126	3e-23	103
A_07_P048762	lcl|NC_002128.1_gene_83	100.00	60	0	0	1	60	1009	1068	5e-28	119
A_07_P044532	ECs2619	100.00	60	0	0	1	60	512	571	5e-28	119
A_07_P020527	ECs2217	96.67	60	2	0	1	60	493	552	3e-23	103
A_07_P007271	ECs4316	96.67	60	2	0	1	60	21	80	3e-23	103
A_07_P062728	ECs1347	100.00	60	0	0	1	60	127	186	5e-28	119
A_07_P053337	ECs3243	100.00	60	0	0	1	60	1281	1340	5e-28	119
A_07_P001627	ECs1463	100.00	60	0	0	1	60	275	334	5e-28	119
A_07_P014457	ECs1872	100.00	60	0	0	1	60	185	244	5e-28	119
A_07_P006496	ECs3777	100.00	60	0	0	1	60	731	790	5e-28	119
A_07_P042246	ECs1881	100.00	60	0	0	1	60	609	668	5e-28	119
A_07_P044691	ECs2680	100.00	60	0	0	1	60	613	672	5e-28	119
A_07_P055382	ECs2759	100.00	60	0	0	1	60	186	245	5e-28	119
A_07_P060457	ECs1387	100.00	60	0	0	1	60	26	85	5e-28	119
A_07_P016473	ECs1174	100.00	60	0	0	1	60	615	674	5e-28	119
A_07_P017971	ECs4231	98.33	60	1	0	1	60	557	616	1e-25	111
A_07_P011711	ECs5175	100.00	60	0	0	1	60	114	173	5e-28	119
A_07_P032235	ECs3025	96.49	57	2	0	1	57	750	806	2e-21	97.6
A_07_P048346	ECs1956	100.00	60	0	0	1	60	511	570	5e-28	119
A_07_P062860	ECs4836	100.00	60	0	0	1	60	380	439	5e-28	119
A_07_P043505	ECs0298	100.00	60	0	0	1	60	676	735	5e-28	119
A_07_P003331	ECs2920	98.33	60	1	0	1	60	1117	1176	1e-25	111
A_07_P015066	ECs2680	100.00	56	0	0	1	56	610	665	1e-25	111
A_07_P016886	ECs4466	100.00	60	0	0	1	60	487	546	5e-28	119
A_07_P018551	ECs2407	98.33	60	1	0	1	60	104	163	1e-25	111
A_07_P041216	ECs2700	91.53	59	5	0	1	59	492	550	2e-15	77.8
A_07_P053011	ECs3005	100.00	60	0	0	1	60	120	179	5e-28	119
A_07_P019885	ECs3464	100.00	60	0	0	1	60	888	947	5e-28	119
A_07_P032828	ECs3696	91.67	60	5	0	1	60	607	666	4e-16	79.8
A_07_P008845	ECs5023	98.33	60	1	0	1	60	765	824	1e-25	111
A_07_P001946	ECs3557	100.00	60	0	0	1	60	439	498	5e-28	119
A_07_P020544	ECs2288	100.00	60	0	0	1	60	20	79	5e-28	119
A_07_P047103	ECs4834	100.00	60	0	0	1	60	311	370	5e-28	119
A_07_P010236	ECs0779	100.00	60	0	0	1	60	568	627	5e-28	119
A_07_P046058	ECs4270	100.00	60	0	0	1	60	299	358	5e-28	119
A_07_P058414	ECs1815	100.00	60	0	0	1	60	451	510	5e-28	119
A_07_P036946	ECs5139	100.00	60	0	0	1	60	146	87	5e-28	119
A_07_P019075	ECs4781	100.00	60	0	0	1	60	130	189	5e-28	119
A_07_P059965	ECs4339	100.00	60	0	0	1	60	321	380	5e-28	119
A_07_P036531	ECs2803	100.00	60	0	0	1	60	418	477	5e-28	119
A_07_P043033	ECs3509	100.00	60	0	0	1	60	237	296	5e-28	119
A_07_P012625	ECs4103	100.00	60	0	0	1	60	72	131	5e-28	119
A_07_P031265	ECs0591	96.67	60	2	0	1	60	572	631	3e-23	103
A_07_P005350	ECs1137	100.00	60	0	0	1	60	2105	2164	5e-28	119
A_07_P021391	ECs0510	98.33	60	1	0	1	60	1408	1467	1e-25	111
A_07_P009140	ECs2011	93.33	60	4	0	1	60	757	816	2e-18	87.7
A_07_P019755	ECs3436	98.33	60	1	0	1	60	266	325	1e-25	111
A_07_P019370	ECs4843	98.33	60	1	0	1	60	419	478	1e-25	111
A_07_P003673	ECs5202	100.00	60	0	0	1	60	34	93	5e-28	119
A_07_P047367	ECs5173	100.00	60	0	0	1	60	330	389	5e-28	119
A_07_P035565	ECs5032	93.33	60	4	0	1	60	16	75	2e-18	87.7
A_07_P002189	ECs3602	100.00	60	0	0	1	60	125	184	5e-28	119
A_07_P052696	ECs3263	100.00	60	0	0	1	60	1669	1728	5e-28	119
A_07_P042954	ECs3486	100.00	60	0	0	1	60	531	590	5e-28	119
A_07_P040338	ECs4325	100.00	60	0	0	1	60	925	984	5e-28	119
A_07_P052679	ECs3169	100.00	60	0	0	1	60	405	464	5e-28	119
A_07_P063395	ECs3371	100.00	60	0	0	1	60	1215	1274	5e-28	119
A_07_P061656	ECs5250	100.00	60	0	0	1	60	1186	1245	5e-28	119
A_07_P010455	ECs0818	95.00	60	3	0	1	60	146	205	7e-21	95.6
A_07_P004285	ECs0794	100.00	53	0	0	1	53	277	329	7e-24	105
A_07_P056857	ECs0838	100.00	60	0	0	1	60	128	187	5e-28	119
A_07_P001896	ECs3547	100.00	60	0	0	1	60	148	207	5e-28	119
A_07_P057581	ECs4597	100.00	60	0	0	1	60	273	332	5e-28	119
A_07_P030542	ECs3535	98.33	60	1	0	1	60	79	138	1e-25	111
A_07_P015155	ECs2697	100.00	60	0	0	1	60	687	746	5e-28	119
A_07_P037451	ECs4929	92.86	56	4	0	5	60	1276	1331	4e-16	79.8
A_07_P009910	ECs0708	98.33	60	1	0	1	60	512	571	1e-25	111
A_07_P049911	ECs4645	100.00	60	0	0	1	60	1349	1408	5e-28	119
A_07_P013627	ECs3376	100.00	60	0	0	1	60	966	1025	5e-28	119
A_07_P012703	ECs4118	98.33	60	1	0	1	60	411	470	1e-25	111
A_07_P043936	ECs0551	100.00	57	0	0	4	60	1	57	3e-26	113
A_07_P020303	ECs2138	100.00	60	0	0	1	60	276	335	5e-28	119
A_07_P044736	ECs2161	100.00	60	0	0	1	60	2423	2482	5e-28	119
A_07_P044321	ECs2279	100.00	60	0	0	1	60	359	418	5e-28	119
A_07_P035116	ECs2343	96.67	60	2	0	1	60	858	917	3e-23	103
A_07_P049751	ECs4572	100.00	60	0	0	1	60	329	388	5e-28	119
A_07_P055430	ECs2768	100.00	60	0	0	1	60	99	158	5e-28	119
A_07_P014686	ECs1926	98.33	60	1	0	1	60	759	818	1e-25	111
A_07_P041757	ECs3962	91.67	60	5	0	1	60	1833	1892	4e-16	79.8
A_07_P020286	ECs2135	98.33	60	1	0	1	60	190	249	1e-25	111
A_07_P052047	ECs1011	100.00	60	0	0	1	60	436	495	5e-28	119
A_07_P054103	ECs0543	100.00	60	0	0	1	60	1395	1454	5e-28	119
A_07_P004086	ECs5271	100.00	60	0	0	1	60	451	510	5e-28	119
A_07_P010386	ECs5433	100.00	60	0	0	1	60	104	163	5e-28	119
A_07_P015809	ECs2533	100.00	60	0	0	1	60	104	163	5e-28	119
A_07_P048578	ECs2358	100.00	60	0	0	1	60	226	285	5e-28	119
A_07_P003602	ECs5188	98.33	60	1	0	1	60	916	975	1e-25	111
A_07_P014943	ECs2654	100.00	60	0	0	1	60	463	522	5e-28	119
A_07_P004879	ECs0971	100.00	60	0	0	1	60	1622	1681	5e-28	119
A_07_P005873	ECs4731	96.67	60	2	0	1	60	1011	1070	3e-23	103
A_07_P052981	ECs1176	96.67	60	1	1	1	60	86	144	7e-21	95.6
A_07_P007687	ECs4437	96.67	60	2	0	1	60	405	464	3e-23	103
A_07_P033839	ECs0995	98.33	60	1	0	1	60	266	207	1e-25	111
A_07_P003021	ECs0247	100.00	60	0	0	1	60	305	364	5e-28	119
A_07_P049706	ECs4563	100.00	60	0	0	1	60	75	134	5e-28	119
A_07_P056377	ECs3847	100.00	60	0	0	1	60	14	73	5e-28	119
A_07_P020836	ECs2350	100.00	60	0	0	1	60	349	408	5e-28	119
A_07_P018501	ECs2397	100.00	60	0	0	1	60	1030	1089	5e-28	119
A_07_P050509	ECs1615	100.00	60	0	0	1	60	1467	1526	5e-28	119
A_07_P059314	lcl|NC_002128.1_gene_77	100.00	60	0	0	1	60	101	160	5e-28	119
A_07_P011793	ECs3805	96.67	60	2	0	1	60	234	293	3e-23	103
A_07_P008980	ECs5049	95.00	60	3	0	1	60	893	952	7e-21	95.6
A_07_P061557	ECs5083	100.00	60	0	0	1	60	18	77	5e-28	119
A_07_P053137	ECs3110	100.00	60	0	0	1	60	466	525	5e-28	119
A_07_P057052	ECs1028	100.00	60	0	0	1	60	166	225	5e-28	119
A_07_P042685	ECs3225	100.00	60	0	0	1	60	688	747	5e-28	119
A_07_P043591	ECs0331	100.00	60	0	0	1	60	1084	1143	5e-28	119
A_07_P032841	ECs3759	93.22	59	4	0	1	59	1528	1586	7e-18	85.7
A_07_P011946	ECs3837	100.00	57	0	0	1	57	444	500	3e-26	113
A_07_P007591	ECs4412	100.00	60	0	0	1	60	1801	1860	5e-28	119
A_07_P048308	ECs2739	100.00	60	0	0	1	60	404	463	5e-28	119
A_07_P004816	ECs0959	98.33	60	1	0	1	60	723	782	1e-25	111
A_07_P060902	ECs1576	100.00	60	0	0	1	60	600	659	5e-28	119
A_07_P004101	ECs5274	98.33	60	1	0	1	60	521	580	1e-25	111
A_07_P048034	ECs2119	100.00	60	0	0	1	60	747	806	5e-28	119
A_07_P048215	ECs2004	100.00	60	0	0	1	60	127	186	5e-28	119
A_07_P007436	ECs4372	96.67	60	2	0	1	60	863	922	3e-23	103
A_07_P050674	ECs1650	100.00	60	0	0	1	60	583	524	5e-28	119
A_07_P004732	ECs0936	98.33	60	1	0	1	60	591	650	1e-25	111
A_07_P050887	ECs1381	100.00	60	0	0	1	60	6	65	5e-28	119
A_07_P052958	ECs2993	100.00	60	0	0	1	60	16	75	5e-28	119
A_07_P061358	ECs4980	100.00	60	0	0	1	60	76	135	5e-28	119
A_07_P011266	ECs5088	96.67	60	2	0	1	60	136	195	3e-23	103
A_07_P055421	ECs2767	100.00	60	0	0	1	60	85	144	5e-28	119
A_07_P016383	ECs0581	100.00	60	0	0	1	60	749	808	5e-28	119
A_07_P043617	ECs0336	100.00	60	0	0	1	60	4112	4171	5e-28	119
A_07_P062610	ECs1323	100.00	60	0	0	1	60	68	127	5e-28	119
A_07_P011491	ECs5133	100.00	60	0	0	1	60	295	354	5e-28	119
A_07_P009737	ECs0672	100.00	60	0	0	1	60	944	1003	5e-28	119
A_07_P001571	ECs1452	100.00	60	0	0	1	60	333	392	5e-28	119
A_07_P060906	ECs1577	100.00	60	0	0	1	60	8	67	5e-28	119
A_07_P008305	ECs0371	100.00	60	0	0	1	60	31	90	5e-28	119
A_07_P058299	ECs2966	100.00	60	0	0	1	60	373	432	5e-28	119
A_07_P062512	ECs1301	100.00	60	0	0	1	60	358	417	5e-28	119
A_07_P043443	ECs0285	100.00	60	0	0	1	60	514	573	5e-28	119
A_07_P046340	ECs0764	100.00	60	0	0	1	60	321	380	5e-28	119
A_07_P016637	ECs0613	96.67	60	2	0	1	60	2604	2663	3e-23	103
A_07_P012181	ECs3895	98.33	60	1	0	1	60	738	797	1e-25	111
A_07_P049769	ECs4575	100.00	60	0	0	1	60	1407	1466	5e-28	119
A_07_P050871	ECs5345	100.00	60	0	0	1	60	653	712	5e-28	119
A_07_P007664	ECs4432	98.33	60	1	0	1	60	1005	1064	1e-25	111
A_07_P057007	ECs0954	100.00	60	0	0	1	60	913	972	5e-28	119
A_07_P063128	ECs1726	100.00	60	0	0	1	60	128	187	5e-28	119
A_07_P035869	ECs0150	96.67	60	2	0	1	60	629	688	3e-23	103
A_07_P016306	ECs0565	100.00	60	0	0	1	60	712	771	5e-28	119
A_07_P036212	ECs1367	100.00	60	0	0	1	60	56	115	5e-28	119
A_07_P048963	lcl|NC_002128.1_gene_38	100.00	60	0	0	1	60	1403	1462	5e-28	119
A_07_P032034	ECs2850	93.10	58	4	0	3	60	1082	1139	3e-17	83.8
A_07_P049976	ECs4671	100.00	60	0	0	1	60	905	964	5e-28	119
A_07_P051256	ECs2715	100.00	60	0	0	1	60	779	838	5e-28	119
A_07_P007522	ECs4398	100.00	60	0	0	1	60	1152	1211	5e-28	119
A_07_P053741	ECs0310	100.00	60	0	0	1	60	84	143	5e-28	119
A_07_P044196	ECs1990	100.00	60	0	0	1	60	583	642	5e-28	119
A_07_P015227	ECs2712	100.00	60	0	0	1	60	482	541	5e-28	119
A_07_P007196	ECs1752	100.00	60	0	0	1	60	661	720	5e-28	119
A_07_P030517	ECs3521	100.00	60	0	0	1	60	1203	1262	5e-28	119
A_07_P014931	ECs2652	100.00	60	0	0	1	60	547	606	5e-28	119
A_07_P049886	ECs4610	100.00	60	0	0	1	60	412	471	5e-28	119
A_07_P002090	ECs3584	98.33	60	1	0	1	60	174	233	1e-25	111
A_07_P019685	ECs3422	100.00	60	0	0	1	60	1215	1274	5e-28	119
A_07_P033911	ECs1136	98.33	60	1	0	1	60	943	1002	1e-25	111
A_07_P007490	ECs4391	95.00	60	3	0	1	60	136	195	7e-21	95.6
A_07_P042822	ECs3305	100.00	60	0	0	1	60	366	425	5e-28	119
A_07_P060577	ECs1478	100.00	60	0	0	1	60	495	554	5e-28	119
A_07_P008552	ECs4901	98.33	60	1	0	1	60	831	890	1e-25	111
A_07_P009949	ECs0717	98.33	60	1	0	1	60	454	513	1e-25	111
A_07_P005671	ECs4692	100.00	60	0	0	1	60	870	929	5e-28	119
A_07_P033185	lcl|NC_002128.1_gene_65	94.74	57	3	0	1	57	62	118	4e-19	89.7
A_07_P006916	ECs1687	96.67	60	2	0	1	60	433	492	3e-23	103
A_07_P049571	ECs4504	100.00	60	0	0	1	60	594	653	5e-28	119
A_07_P005486	ECs4650	100.00	60	0	0	1	60	437	496	5e-28	119
A_07_P030267	ECs3483	96.67	60	2	0	1	60	177	236	3e-23	103
A_07_P047092	ECs4829	100.00	60	0	0	1	60	673	732	5e-28	119
A_07_P044036	ECs0700	100.00	60	0	0	1	60	1016	1075	5e-28	119
A_07_P047177	ECs4896	100.00	60	0	0	1	60	961	1020	5e-28	119
A_07_P057676	ECs4656	100.00	60	0	0	1	60	97	156	5e-28	119
A_07_P052301	ECs4917	100.00	60	0	0	1	60	1492	1551	5e-28	119
A_07_P057927	ECs4896	100.00	60	0	0	1	60	961	1020	5e-28	119
A_07_P032602	ECs3634	98.33	60	1	0	1	60	319	378	1e-25	111
A_07_P043030	ECs3508	100.00	60	0	0	1	60	40	99	5e-28	119
A_07_P041240	ECs3297	95.00	60	3	0	1	60	279	338	7e-21	95.6
A_07_P039808	ECs4505	96.67	60	2	0	1	60	586	645	3e-23	103
A_07_P049674	ECs4556	100.00	60	0	0	1	60	357	416	5e-28	119
A_07_P034731	ECs1866	98.33	60	1	0	1	60	1059	1118	1e-25	111
A_07_P063421	ECs3699	100.00	60	0	0	1	60	530	589	5e-28	119
A_07_P048181	ECs2013	100.00	60	0	0	1	60	1186	1245	5e-28	119
A_07_P009501	ECs2087	100.00	60	0	0	1	60	82	141	5e-28	119
A_07_P061459	ECs5000	100.00	60	0	0	1	60	125	184	5e-28	119
A_07_P054984	ECs2526	100.00	60	0	0	1	60	129	188	5e-28	119
A_07_P062555	ECs1311	100.00	60	0	0	1	60	708	767	5e-28	119
A_07_P039745	ECs4487	96.67	60	2	0	1	60	152	93	3e-23	103
A_07_P000306	ECs3996	98.33	60	1	0	1	60	1268	1327	1e-25	111
A_07_P002266	ECs3619	100.00	60	0	0	1	60	1538	1597	5e-28	119
A_07_P056897	ECs0846	100.00	60	0	0	1	60	670	729	5e-28	119
A_07_P008629	ECs4916	100.00	60	0	0	1	60	65	124	5e-28	119
A_07_P053389	ECs3280	100.00	60	0	0	1	60	292	351	5e-28	119
A_07_P051872	ECs0164	100.00	60	0	0	1	60	1288	1347	5e-28	119
A_07_P051494	ECs1225	100.00	60	0	0	1	60	148	207	5e-28	119
A_07_P015946	ECs2564	100.00	60	0	0	1	60	1038	1097	5e-28	119
A_07_P007551	ECs4404	98.33	60	1	0	1	60	1824	1883	1e-25	111
A_07_P059174	klcA	100.00	60	0	0	1	60	146	205	5e-28	119
A_07_P007396	ECs4364	98.33	60	1	0	1	60	209	268	1e-25	111
A_07_P018919	ECs2483	100.00	60	0	0	1	60	966	1025	5e-28	119
A_07_P042539	ECs3160	100.00	60	0	0	1	60	872	931	5e-28	119
A_07_P009122	ECs2008	96.67	60	2	0	1	60	797	856	3e-23	103
A_07_P060054	ECs4382	100.00	60	0	0	1	60	737	796	5e-28	119
A_07_P044461	lcl|NC_002128.1_gene_79	100.00	60	0	0	1	60	584	643	5e-28	119
A_07_P016446	ECs0594	100.00	60	0	0	1	60	2410	2469	5e-28	119
A_07_P045991	ECs4189	100.00	60	0	0	1	60	389	448	5e-28	119
A_07_P047526	ECs5290	100.00	60	0	0	1	60	4488	4547	5e-28	119
A_07_P062465	ECs1289	100.00	60	0	0	1	60	2426	2485	5e-28	119
A_07_P063579	ECs4455	100.00	60	0	0	1	60	990	1049	5e-28	119
A_07_P044798	ECs2957	100.00	60	0	0	1	60	902	961	5e-28	119
A_07_P042441	ECs2664	96.67	60	2	0	1	60	341	400	3e-23	103
A_07_P062362	ECs1250	100.00	60	0	0	1	60	49	108	5e-28	119
A_07_P019692	ECs3424	100.00	60	0	0	1	60	1357	1416	5e-28	119
A_07_P014982	ECs2663	98.33	60	1	0	1	60	1338	1397	1e-25	111
A_07_P044967	ECs2813	100.00	60	0	0	1	60	1190	1249	5e-28	119
A_07_P014344	ECs1844	98.33	60	1	0	1	60	858	917	1e-25	111
A_07_P016514	ECs1618	100.00	59	0	0	2	60	213	271	2e-27	117
A_07_P063004	ECs0730	100.00	60	0	0	1	60	437	496	5e-28	119
A_07_P062832	ECs3227	100.00	60	0	0	1	60	1189	1248	5e-28	119
A_07_P021246	ECs0481	94.92	59	3	0	1	59	1297	1355	3e-20	93.7
A_07_P063321	ECs3095	100.00	60	0	0	1	60	1301	1360	5e-28	119
A_07_P056536	ECs3933	100.00	60	0	0	1	60	1402	1461	5e-28	119
A_07_P043990	ECs0607	100.00	60	0	0	1	60	1740	1799	5e-28	119
A_07_P054329	ECs2119	100.00	60	0	0	1	60	747	806	5e-28	119
A_07_P061961	ECs1167	100.00	60	0	0	1	60	97	156	5e-28	119
A_07_P038400	ECs3005	100.00	60	0	0	1	60	120	179	5e-28	119
A_07_P061663	ECs5251	100.00	60	0	0	1	60	601	660	5e-28	119
A_07_P054113	ECs0546	100.00	60	0	0	1	60	353	412	5e-28	119
A_07_P002611	ECs0134	100.00	60	0	0	1	60	1146	1205	5e-28	119
A_07_P002053	ECs3577	96.67	60	2	0	1	60	1281	1340	3e-23	103
A_07_P020648	ECs2309	100.00	60	0	0	1	60	1431	1490	5e-28	119
A_07_P003541	ECs3048	98.33	60	1	0	1	60	1411	1470	1e-25	111
A_07_P043908	ECs0543	100.00	60	0	0	1	60	1395	1454	5e-28	119
A_07_P042905	ECs3415	100.00	60	0	0	1	60	3175	3234	5e-28	119
A_07_P038402	ECs0808	96.67	60	2	0	1	60	123	182	3e-23	103
A_07_P016968	ECs4483	96.67	60	2	0	1	60	1028	1087	3e-23	103
A_07_P004432	ECs0874	100.00	60	0	0	1	60	625	684	5e-28	119
A_07_P058213	ECs1767	100.00	60	0	0	1	60	482	541	5e-28	119
A_07_P041853	ECs4342	98.33	60	1	0	1	60	458	517	1e-25	111
A_07_P014777	ECs1945	98.21	56	1	0	1	56	463	518	3e-23	103
A_07_P059931	ECs4333	100.00	60	0	0	1	60	1618	1677	5e-28	119
A_07_P042496	ECs2885	96.67	60	2	0	1	60	1056	1115	3e-23	103
A_07_P037440	ECs4919	100.00	60	0	0	1	60	271	330	5e-28	119
A_07_P061536	ECs5072	100.00	60	0	0	1	60	439	498	5e-28	119
A_07_P002091	ECs3585	93.33	60	4	0	1	60	602	661	2e-18	87.7
A_07_P039030	ECs4651	94.64	56	3	0	1	56	898	953	2e-18	87.7
A_07_P045025	ECs2839	100.00	60	0	0	1	60	1003	1062	5e-28	119
A_07_P036961	ECs5161	98.33	60	1	0	1	60	367	426	1e-25	111
A_07_P055094	ECs2635	100.00	60	0	0	1	60	217	276	5e-28	119
A_07_P062148	ECs1205	100.00	60	0	0	1	60	818	877	5e-28	119
A_07_P035634	ECs0014	100.00	60	0	0	1	60	293	234	5e-28	119
A_07_P054332	ECs2133	100.00	60	0	0	1	60	410	469	5e-28	119
A_07_P016266	ECs0559	100.00	60	0	0	1	60	1828	1887	5e-28	119
A_07_P049297	ECs0221	100.00	60	0	0	1	60	347	406	5e-28	119
A_07_P017526	ECs5326	100.00	60	0	0	1	60	487	546	5e-28	119
A_07_P002847	ECs0180	100.00	60	0	0	1	60	427	486	5e-28	119
A_07_P006885	ECs1681	100.00	60	0	0	1	60	1179	1238	5e-28	119
A_07_P000651	ECs3063	100.00	60	0	0	1	60	486	545	5e-28	119
A_07_P044011	ECs0650	100.00	60	0	0	1	60	529	588	5e-28	119
A_07_P013431	ECs3337	100.00	60	0	0	1	60	418	477	5e-28	119
A_07_P052670	ECs3158	100.00	60	0	0	1	60	259	318	5e-28	119
A_07_P033176	ECs2795	100.00	60	0	0	1	60	157	216	5e-28	119
A_07_P059928	ECs4332	100.00	60	0	0	1	60	40	99	5e-28	119
A_07_P003500	ECs3039	100.00	60	0	0	1	60	1008	1067	5e-28	119
A_07_P053574	ECs0275	100.00	52	0	0	9	60	126	177	3e-23	103
A_07_P041192	ECs2490	100.00	57	0	0	1	57	609	665	3e-26	113
A_07_P003220	ECs2894	100.00	60	0	0	1	60	793	852	5e-28	119
A_07_P013891	ECs3205	98.33	60	1	0	1	60	821	880	1e-25	111
A_07_P011821	ECs3810	92.98	57	4	0	4	60	1936	1992	1e-16	81.8
A_07_P039431	ECs4848	100.00	60	0	0	1	60	289	348	5e-28	119
A_07_P050450	ECs1594	100.00	60	0	0	1	60	177	236	5e-28	119
A_07_P021430	ECs0517	98.33	60	1	0	1	60	555	614	1e-25	111
A_07_P044374	ECs1815	100.00	60	0	0	1	60	451	510	5e-28	119
A_07_P045836	ECs3915	100.00	60	0	0	1	60	122	181	5e-28	119
A_07_P012168	ECs3891	100.00	60	0	0	1	60	94	153	5e-28	119
A_07_P050076	ECs2803	100.00	60	0	0	1	60	418	477	5e-28	119
A_07_P060667	ECs1518	100.00	60	0	0	1	60	288	347	5e-28	119
A_07_P062135	ECs1202	100.00	60	0	0	1	60	98	157	5e-28	119
A_07_P033440	ECs0790	100.00	60	0	0	1	60	53	112	5e-28	119
A_07_P000496	ECs4036	100.00	60	0	0	1	60	13	72	5e-28	119
A_07_P062232	ECs1224	100.00	60	0	0	1	60	220	279	5e-28	119
A_07_P050138	ECs2277	100.00	60	0	0	1	60	162	221	5e-28	119
A_07_P021477	ECs0527	96.67	60	2	0	1	60	460	519	3e-23	103
A_07_P054808	ECs2278	100.00	60	0	0	1	60	237	296	5e-28	119
A_07_P036036	ECs2803	98.33	60	1	0	1	60	187	246	1e-25	111
A_07_P055231	ECs2715	100.00	60	0	0	1	60	215	274	5e-28	119
A_07_P049567	ECs4503	100.00	60	0	0	1	60	267	326	5e-28	119
A_07_P000621	ECs4061	100.00	60	0	0	1	60	1359	1418	5e-28	119
A_07_P043700	ECs0372	100.00	60	0	0	1	60	410	469	5e-28	119
A_07_P019216	ECs4811	100.00	60	0	0	1	60	583	642	5e-28	119
A_07_P017589	ECs5340	98.33	60	1	0	1	60	135	194	1e-25	111
A_07_P038918	ECs1862	100.00	60	0	0	1	60	475	534	5e-28	119
A_07_P000305	ECs3995	93.33	60	4	0	1	60	1066	1125	2e-18	87.7
A_07_P003182	ECs2889	100.00	60	0	0	1	60	1040	1099	5e-28	119
A_07_P045159	ECs2912	100.00	60	0	0	1	60	773	832	5e-28	119
A_07_P007124	ECs1739	100.00	60	0	0	1	60	346	405	5e-28	119
A_07_P014447	ECs1870	100.00	60	0	0	1	60	906	965	5e-28	119
A_07_P034587	ECs4351	96.36	55	2	0	6	60	220	274	3e-20	93.7
A_07_P045438	ECs3013	100.00	60	0	0	1	60	1164	1223	5e-28	119
A_07_P046501	ECs0837	100.00	60	0	0	1	60	2640	2699	5e-28	119
A_07_P014857	ECs1997	100.00	60	0	0	1	60	221	280	5e-28	119
A_07_P015786	ECs2529	100.00	60	0	0	1	60	517	576	5e-28	119
A_07_P049386	ECs4380	100.00	60	0	0	1	60	1829	1888	5e-28	119
A_07_P046393	ECs0807	100.00	60	0	0	1	60	21	80	5e-28	119
A_07_P052321	ECs5049	100.00	60	0	0	1	60	895	954	5e-28	119
A_07_P061800	ECs5296	100.00	60	0	0	1	60	5	64	5e-28	119
A_07_P060122	ECs4457	100.00	60	0	0	1	60	133	192	5e-28	119
A_07_P000294	ECs3993	98.33	60	1	0	1	60	235	294	1e-25	111
A_07_P033095	ECs4545	100.00	60	0	0	1	60	127	186	5e-28	119
A_07_P000185	ECs3973	98.33	60	1	0	1	60	965	1024	1e-25	111
A_07_P063043	ECs0913	100.00	60	0	0	1	60	1201	1260	5e-28	119
A_07_P038739	ECs1693	96.30	54	2	0	1	54	1896	1949	1e-19	91.7
